"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"CALCULATOR EPIC","CHECK MULTIPLY METHODS","MULTIPLY METHOD - POSITIVE DATA","4","0","0","0","0"
"CALCULATOR EPIC","CHECK MULTIPLY METHODS","","1","1","1","0","0"
"CALCULATOR EPIC","CHECK DIVISION METHODS","DIVISION METHOD - POSITIVE DATA","0","0","4","0","0"
"CALCULATOR EPIC","CHECK SUBSTRACTION METHODS","ADDITION METHOD - NEGATIVE DATA","0","0","1","0","0"
"CALCULATOR EPIC","CHECK SUBSTRACTION METHODS","MULTIPLY METHOD - POSITIVE DATA","0","0","4","0","0"
"CALCULATOR EPIC","CHECK DIVISION METHODS","","0","1","1","0","0"
"CALCULATOR EPIC","CHECK MULTIPLY METHODS","FIELD VALIDATION","1","0","0","0","0"
"CALCULATOR EPIC","CHECK SUBSTRACTION METHODS","","0","1","1","0","0"
"CALCULATOR EPIC","CHECK ADDITION METHODS","","0","1","1","0","0"
"CALCULATOR EPIC","CHECK ADDITION METHODS","FIELD VALIDATION","1","0","0","0","0"
"CALCULATOR EPIC","CHECK ADDITION METHODS","ADDITION METHOD - POSITIVE DATA","0","0","4","0","0"
"CALCULATOR EPIC","CHECK SUBSTRACTION METHODS","FIELD VALIDATION","0","0","1","0","0"
"CALCULATOR EPIC","CHECK DIVISION METHODS","FIELD VALIDATION","0","0","1","0","0"
